,age,age,age,age,age,gender,gender,gender,gender,gender,married,married,married,married,married,has_children,has_children,has_children,has_children,has_children,n_unique_destinations,n_unique_destinations,n_unique_destinations,n_unique_destinations,n_unique_destinations,avg_flight_fare_usd,avg_flight_fare_usd,avg_flight_fare_usd,avg_flight_fare_usd,avg_flight_fare_usd,total_flight_fare_usd,total_flight_fare_usd,total_flight_fare_usd,total_flight_fare_usd,total_flight_fare_usd,total_flights_booked,total_flights_booked,total_flights_booked,total_flights_booked,total_flights_booked,total_hotels_booked,total_hotels_booked,total_hotels_booked,total_hotels_booked,total_hotels_booked,total_flight_discount,total_flight_discount,total_flight_discount,total_flight_discount,total_flight_discount,avg_flight_discount,avg_flight_discount,avg_flight_discount,avg_flight_discount,avg_flight_discount,flight_discount_ratio,flight_discount_ratio,flight_discount_ratio,flight_discount_ratio,flight_discount_ratio,avg_flight_discount_percentage,avg_flight_discount_percentage,avg_flight_discount_percentage,avg_flight_discount_percentage,avg_flight_discount_percentage,avg_checked_bags,avg_checked_bags,avg_checked_bags,avg_checked_bags,avg_checked_bags,total_cancellations,total_cancellations,total_cancellations,total_cancellations,total_cancellations,cancellation_rate,cancellation_rate,cancellation_rate,cancellation_rate,cancellation_rate,flight_hotel_combo_ratio,flight_hotel_combo_ratio,flight_hotel_combo_ratio,flight_hotel_combo_ratio,flight_hotel_combo_ratio,hotel_booking_ratio,hotel_booking_ratio,hotel_booking_ratio,hotel_booking_ratio,hotel_booking_ratio
,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,40.11845730027548,34.0,18,90,363,0.12396694214876033,0.0,0.0,1.0,363,0.39944903581267216,0.0,0,1,363,0.33608815426997246,0.0,0,1,363,0.256198347107438,0.0,0,2,363,112.42225895316804,0.0,0.0,2017.47,363,125.54735537190084,0.0,0.0,2328.9,363,0.25895316804407714,0.0,0,2,363,0.0,0.0,0,0,363,0.7796143250688705,1.0,0,3,363,0.09619135073680528,0.125,0.0,0.375,363,484848.7672173547,1.9999980000020001,0.0,1000000.0,363,484848.4868033762,0.01176470581314879,0.0,1000000.0,363,0.1267216446282135,0.0,0.0,2.9999970000030003,363,0.0,0.0,0,0,363,0.0,0.0,0.0,0.0,363,0.0,0.0,0.0,0.0,363,0.0,0.0,0.0,0.0,363
1,43.741610738255034,44.0,18,80,1490,0.11208053691275167,0.0,0.0,1.0,1490,0.47516778523489933,0.0,0,1,1490,0.348993288590604,0.0,0,1,1490,2.0389261744966443,2.0,1,5,1490,446.7247119686801,379.345,5.35,4688.71,1490,928.0644093959731,786.47,5.35,6216.41,1490,2.1228187919463086,2.0,1,5,1490,2.2503355704697987,2.0,0,6,1490,2.5342281879194632,2.0,2,6,1490,0.30972043057613524,0.25,0.2,0.75,1490,1.4434665500396073,0.9999996666667778,0.49999987500003124,5.999994000006001,1490,0.0063501370182297515,0.0031130922514128936,0.0003603201083193733,0.5740527469514641,1490,0.5713307621163837,0.499999750000125,0.0,3.9999960000040002,1490,0.0,0.0,0,0,1490,0.0,0.0,0.0,0.0,1490,0.22604002280076746,0.24999996875000394,0.0,0.6249999218750099,1490,0.5121198158340464,0.49999987500003124,0.0,0.799999840000032,1490
2,42.385117493472585,43.0,18,87,1532,0.12467362924281984,0.0,0.0,1.0,1532,0.4608355091383812,0.0,0,1,1532,0.35966057441253263,0.0,0,1,1532,1.6325065274151436,2.0,0,4,1532,437.83775728894693,373.28999999999996,0.0,5053.2,1532,775.6835574412532,651.495,0.0,7539.38,1532,1.6997389033942558,2.0,0,4,1532,1.8949086161879896,2.0,0,5,1532,0.5783289817232375,1.0,0,1,1532,0.07118381690836,0.1111111111111111,0.0,0.16666666666666666,1532,0.3864226773011723,0.499999750000125,0.0,0.9999990000010001,1532,0.0015729158042902004,0.0007559673950379399,0.0,0.09225091399899318,1532,0.5623908370823519,0.499999750000125,0.0,4.999995000005001,1532,0.0,0.0,0,0,1532,0.0,0.0,0.0,0.0,1532,0.1754176434285821,0.12499998437500197,0.0,0.3749999531250059,1532,0.5406407355581151,0.49999987500003124,0.0,0.99999950000025,1532
3,39.869565217391305,34.5,18,82,184,0.11413043478260869,0.0,0.0,1.0,184,0.391304347826087,0.0,0,1,184,0.30978260869565216,0.0,0,1,184,0.0,0.0,0,0,184,0.0,0.0,0.0,0.0,184,0.0,0.0,0.0,0.0,184,0.0,0.0,0,0,184,0.010869565217391304,0.0,0,1,184,2.4130434782608696,2.0,2,5,184,0.2942568150448585,0.25,0.2,0.625,184,2413043.4782608696,2000000.0,2000000.0,5000000.0,184,2413043.4782608696,2000000.0,2000000.0,5000000.0,184,0.0,0.0,0.0,0.0,184,0.0,0.0,0,0,184,0.0,0.0,0.0,0.0,184,0.0,0.0,0.0,0.0,184,0.010869554347836957,0.0,0.0,0.9999990000010001,184
4,45.07593307593308,45.0,18,68,1554,0.10296010296010295,0.0,0.0,1.0,1554,0.4137709137709138,0.0,0,1,1554,0.2548262548262548,0.0,0,1,1554,3.7496782496782495,4.0,2,8,1554,439.394377745092,385.75475000000006,83.18333333333334,2538.23,1554,1760.1185456885457,1543.47,249.55,7980.1900000000005,1554,4.013513513513513,4.0,3,9,1554,3.969111969111969,4.0,1,9,1554,1.0353925353925353,1.0,0,4,1554,0.12609657431086002,0.125,0.0,0.5,1554,0.26364929355371053,0.24999993750001562,0.0,0.799999840000032,1554,0.000746194693719753,0.0006473395207327762,0.0,0.0063607836350589786,1554,0.5642513483903693,0.49999987500003124,0.0,1.999999500000125,1554,0.002574002574002574,0.0,0,1,1554,0.0001621519375696058,0.0,0.0,0.07142856632653098,1554,0.44715951198969545,0.39999996000000404,0.12499998437500197,0.9999998750000157,1554,0.49639089957977756,0.4999999375000079,0.199999960000008,0.6666665925926009,1554
5,41.967213114754095,42.0,19,73,61,0.18032786885245902,0.0,0.0,1.0,61,0.7868852459016393,1.0,0,1,61,0.6721311475409836,1.0,0,1,61,1.8032786885245902,2.0,1,5,61,5438.0385,4572.97,2278.86,14280.38,61,12958.658032786885,10962.01,5009.3,29185.04,61,2.622950819672131,2.0,1,6,61,2.278688524590164,2.0,1,5,61,2.1475409836065573,2.0,0,4,61,0.2650208170699974,0.25,0.0,0.5,61,0.9027317983244841,0.9999990000010001,0.0,2.9999970000030003,61,0.00019353555892118006,0.0001699391277899808,0.0,0.0004726389321582774,61,2.1144798920178425,1.9999980000020001,0.33333322222225925,5.666664777778407,61,0.819672131147541,1.0,0,2,61,0.17424593223947263,0.199999960000008,0.0,0.399999920000016,61,0.2350767338114997,0.24999996875000394,0.0,0.6249999218750099,61,0.4570806559877992,0.499999750000125,0.24999993750001562,0.799999840000032,61
6,41.01094890510949,33.5,18,86,274,0.08394160583941605,0.0,0.0,1.0,274,0.40875912408759124,0.0,0,1,274,0.3722627737226277,0.0,0,1,274,0.0,0.0,0,0,274,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,0.0,274,0.0,0.0,0,0,274,1.2664233576642336,1.0,1,3,274,1.7518248175182483,1.0,1,4,274,0.21327916811493453,0.13392857142857142,0.1,0.5,274,1751824.8175182482,1000000.0,1000000.0,4000000.0,274,1751824.8175182482,1000000.0,1000000.0,4000000.0,274,0.0,0.0,0.0,0.0,274,0.0,0.0,0,0,274,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,0.0,274,0.9999991246966796,0.9999990000010001,0.9999990000010001,0.9999996666667778,274
7,42.00555555555555,43.0,18,86,540,0.1425925925925926,0.0,0.0,1.0,540,0.3851851851851852,0.0,0,1,540,0.31296296296296294,0.0,0,1,540,2.4685185185185183,2.0,0,6,540,720.9859202160494,466.32499999999993,0.0,3411.73,540,2436.3030555555556,1749.68,0.0,10713.460000000001,540,3.6203703703703702,4.0,1,8,540,3.5185185185185186,4.0,1,7,540,2.3425925925925926,2.0,1,6,540,0.28422552241996685,0.25,0.1,0.625,540,0.758996614655332,0.6666664444445185,0.16666663888889352,2.9999970000030003,540,42592.59485084564,0.0011604561795601656,9.723464663983952e-05,3000000.0,540,0.6127026288157456,0.599999880000024,0.0,4.99999750000125,540,1.025925925925926,1.0,1,2,540,0.16652693349925765,0.1428571224489825,0.07142856632653098,0.499999750000125,540,0.38044394384231073,0.3749999531250059,0.09999999000000101,0.8749998906250137,540,0.4870938001173537,0.49999991666668053,0.24999993750001562,0.799999840000032,540
