age,gender,married,has_children,n_unique_destinations,avg_flight_fare_usd,total_flight_fare_usd,total_flights_booked,total_hotels_booked,total_flight_discount,avg_flight_discount,flight_discount_ratio,avg_flight_discount_percentage,avg_checked_bags,total_cancellations,cancellation_rate,flight_hotel_combo_ratio,hotel_booking_ratio,cluster
66,0.0,1,0,0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.99999950000025,2
53,0.0,1,0,2,432.04499999999996,864.0899999999999,2,2,0,0.0,0.0,0.0,0.499999750000125,0,0.0,0.24999996875000394,0.49999987500003124,2
52,0.0,1,1,1,189.91,189.91,1,2,2,0.25,1.9999980000020001,0.010531304246583623,0.0,0,0.0,0.12499998437500197,0.6666664444445185,1
45,0.0,1,0,5,248.532,1242.66,5,5,2,0.25,0.399999920000016,0.0016094506931828086,0.399999920000016,0,0.0,0.6249999218750099,0.499999950000005,4
46,0.0,1,1,1,13902.06,27804.12,2,2,1,0.125,0.499999750000125,3.596589282322311e-05,4.99999750000125,1,0.24999993750001562,0.24999996875000394,0.49999987500003124,5
53,0.0,0,1,3,779.7633333333333,2339.29,3,4,2,0.25,0.6666664444445185,0.0008549602653561721,0.9999996666667778,0,0.0,0.24999996875000394,0.57142848979593,1
53,0.0,1,1,1,384.68,384.68,1,1,2,0.25,1.9999980000020001,0.005199126533224689,0.0,0,0.0,0.12499998437500197,0.499999750000125,1
41,0.0,1,0,3,584.4399999999999,1753.32,3,3,1,0.1111111111111111,0.33333322222225925,0.0005703465422339638,0.6666664444445185,0,0.0,0.33333329629630043,0.49999991666668053,4
20,0.0,0,0,1,423.51,423.51,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
52,0.0,0,1,5,385.732,1928.66,5,5,1,0.125,0.199999960000008,0.0005184947059002132,0.399999920000016,0,0.0,0.6249999218750099,0.499999950000005,4
39,0.0,0,0,1,367.83,367.83,1,1,1,0.125,0.9999990000010001,0.002718647193761664,1.9999980000020001,0,0.0,0.12499998437500197,0.499999750000125,2
47,0.0,0,1,3,218.95666666666662,656.8699999999999,3,3,0,0.0,0.0,0.0,0.33333322222225925,0,0.0,0.3749999531250059,0.49999991666668053,4
47,0.0,1,1,1,93.62,93.62,1,1,0,0.0,0.0,0.0,0.9999990000010001,0,0.0,0.12499998437500197,0.499999750000125,2
49,0.0,1,0,1,328.32,328.32,1,1,2,0.25,1.9999980000020001,0.0060916179151692925,0.9999990000010001,0,0.0,0.12499998437500197,0.499999750000125,1
19,0.0,0,0,0,0.0,0.0,0,0,1,0.125,1000000.0,1000000.0,0.0,0,0.0,0.0,0.0,0
26,0.0,0,0,2,3679.3566666666666,11038.07,3,2,3,0.375,0.9999996666667778,0.00027178664383612476,0.33333322222225925,2,0.399999920000016,0.24999996875000394,0.399999920000016,5
33,0.0,0,0,3,1075.4966666666667,3226.49,3,3,1,0.125,0.33333322222225925,0.0003099343248204909,0.33333322222225925,1,0.16666663888889352,0.3749999531250059,0.49999991666668053,7
30,0.0,0,0,2,554.625,1109.25,2,3,1,0.1111111111111111,0.499999750000125,0.0009015100284863555,0.499999750000125,0,0.0,0.22222219753086697,0.599999880000024,2
55,0.0,1,0,2,346.4766666666667,1039.43,3,3,2,0.25,0.6666664444445185,0.001924131493295237,0.9999996666667778,0,0.0,0.3749999531250059,0.49999991666668053,1
21,0.0,0,1,1,537.67,537.67,1,1,1,0.125,0.9999990000010001,0.001859876872691657,0.9999990000010001,1,0.499999750000125,0.12499998437500197,0.499999750000125,7
56,0.0,1,1,3,414.19,1242.57,3,3,1,0.125,0.33333322222225925,0.0008047836332723438,0.6666664444445185,0,0.0,0.3749999531250059,0.49999991666668053,4
37,0.0,0,1,1,1244.31,1244.31,1,2,1,0.125,0.9999990000010001,0.0008036582517188977,1.9999980000020001,0,0.0,0.12499998437500197,0.6666664444445185,2
39,0.0,0,0,4,416.2,2081.0,5,5,0,0.0,0.0,0.0,0.399999920000016,0,0.0,0.5555554938271674,0.499999950000005,4
30,0.0,0,0,1,394.29,394.29,1,1,1,0.125,0.9999990000010001,0.0025362043101874146,0.0,0,0.0,0.12499998437500197,0.499999750000125,2
42,1.0,0,0,3,475.9657142857142,3331.7599999999998,7,7,3,0.375,0.4285713673469475,0.0009004250003300284,1.2857141020408425,1,0.07142856632653098,0.8749998906250137,0.49999996428571686,7
40,0.0,1,0,4,991.126,4955.63,5,4,3,0.375,0.599999880000024,0.0006053720716426827,0.599999880000024,2,0.22222219753086697,0.4999999375000079,0.44444439506173394,7
42,0.0,1,1,2,916.1166666666667,2748.35,3,3,1,0.1111111111111111,0.33333322222225925,0.0003638546763098388,0.33333322222225925,0,0.0,0.33333329629630043,0.49999991666668053,2
41,0.0,0,1,4,261.64750000000004,1046.5900000000001,4,3,1,0.125,0.24999993750001562,0.000955483999507463,0.24999993750001562,0,0.0,0.3749999531250059,0.4285713673469475,4
24,0.0,0,0,1,2500.87,5001.74,2,2,4,0.5,1.9999990000005,0.0007997216966896077,1.9999990000005,1,0.24999993750001562,0.24999996875000394,0.49999987500003124,7
21,0.0,1,1,0,0.0,0.0,0,0,1,0.1111111111111111,1000000.0,1000000.0,0.0,0,0.0,0.0,0.0,0
40,0.0,0,1,1,539.57,539.57,1,2,2,0.25,1.9999980000020001,0.0037066552927207674,0.0,0,0.0,0.12499998437500197,0.6666664444445185,1
42,0.0,0,0,4,484.584,2422.92,5,4,2,0.2222222222222222,0.399999920000016,0.000825450282788763,0.199999960000008,1,0.11111109876543349,0.44444439506173394,0.44444439506173394,7
44,0.0,0,1,2,448.805,897.61,2,1,0,0.0,0.0,0.0,0.0,0,0.0,0.12499998437500197,0.33333322222225925,2
